Instrument,Committee Name,Committee Position of the Director,Committee Start Date,LEI,Company Name,Officer Rank,Officer Full Name,Officer First Name,Officer Middle Name,Officer Last Name,Officer Start Date,Director Start Date,Position Start Date,Position Description
RAT.L,Audit,Member,2015-01-21,213800MBTHM6UE8ZQP29,Rathbones Group PLC,15,Ms. Sarah F. Gentleman,Sarah,F.,Gentleman,NaT,2015-01-21 00:00:00,2022-05-05 00:00:00,Senior Non-Executive Independent Director
RAT.L,Audit,Member,2021-10-05,213800MBTHM6UE8ZQP29,Rathbones Group PLC,16,Mr. Dharmash Mistry,Dharmash,,Mistry,NaT,2021-10-05 00:00:00,2021-10-05 00:00:00,Non-Executive Independent Director
RKT.L,Audit,Chairman,2019-01-01,5493003JFSMOJG48V108,Reckitt Benckiser Group PLC,14,Mr. Andrew Robert John Bonfield,Andrew,Robert John,Bonfield,NaT,2018-07-01 00:00:00,2022-11-01 00:00:00,Non-Executive Independent Director
RKT.L,Audit,Member,2020-07-01,5493003JFSMOJG48V108,Reckitt Benckiser Group PLC,16,Ms. Margherita Della Valle,Margherita,,Della Valle,NaT,2020-07-01 00:00:00,2020-07-01 00:00:00,Non-Executive Independent Director
RKT.L,Audit,Member,2023-02-01,5493003JFSMOJG48V108,Reckitt Benckiser Group PLC,18,"Ms. Tamara Ingram, OBE",Tamara,,Ingram,NaT,2023-02-01 00:00:00,2023-02-01 00:00:00,Non-Executive Independent Director
RKT.L,Audit,Member,2016-03-16,5493003JFSMOJG48V108,Reckitt Benckiser Group PLC,20,"Dr. Pamela J. (Pam) Kirby, Ph.D.",Pamela,J.,Kirby,NaT,2015-02-10 00:00:00,2015-02-10 00:00:00,Non-Executive Independent Director
RKT.L,Audit,Member,2021-10-25,5493003JFSMOJG48V108,Reckitt Benckiser Group PLC,22,Ms. Elane B. Stock,Elane,B.,Stock,NaT,2018-09-01 00:00:00,2018-09-01 00:00:00,Non-Executive Independent Director
REDD.L,Audit,Chairman,2020-03-01,213800B3ZUTDOZYVJB41,Redde Northgate PLC,6,Mr. Mark Butcher,Mark,,Butcher,NaT,2019-09-01 00:00:00,2019-09-01 00:00:00,Non-Executive Independent Director
REDD.L,Audit,Member,2022-05-05,213800B3ZUTDOZYVJB41,Redde Northgate PLC,7,Ms. Bindi Karia,Bindi,,Karia,NaT,2022-05-05 00:00:00,2022-05-05 00:00:00,Non-Executive Independent Director
REDD.L,Audit,Member,2019-01-01,213800B3ZUTDOZYVJB41,Redde Northgate PLC,8,Mr. John Pattullo,John,,Pattullo,NaT,2019-01-01 00:00:00,2019-01-01 00:00:00,Senior Non-Executive Independent Director
REDD.L,Audit,Member,2022-11-09,213800B3ZUTDOZYVJB41,Redde Northgate PLC,9,Ms. Nicola Rabson,Nicola,,Rabson,NaT,2022-11-09 00:00:00,2022-11-09 00:00:00,Non-Executive Independent Director
RDW.L,Audit,Member,2019-11-06,2138008WJZBBA7EYEL28,Redrow PLC,5,Ms. Nicky Dulieu,Nicky,,Dulieu,NaT,2019-11-06 00:00:00,2019-11-06 00:00:00,Non-Executive Independent Director
RDW.L,Audit,Member,2023-05-01,2138008WJZBBA7EYEL28,Redrow PLC,6,"Ms. Geeta Nanda, OBE",Geeta,,Nanda,NaT,2023-05-01 00:00:00,2023-05-01 00:00:00,Non-Executive Independent Director
RDW.L,Audit,Chairman,2022-11-11,2138008WJZBBA7EYEL28,Redrow PLC,7,Mr. Oliver Reginald Tant,Oliver,Reginald,Tant,NaT,2022-02-01 00:00:00,2022-02-01 00:00:00,Non-Executive Independent Director
REL.L,Audit,Member,2020-10-15,549300WSX3VBUFFJOO66,Relx PLC,14,Ms. June Yee (June) Felix,June Yee,,Felix,NaT,2020-10-15 00:00:00,2020-10-15 00:00:00,Non-Executive Independent Director
REL.L,Audit,Member,2021-07-28,549300WSX3VBUFFJOO66,Relx PLC,15,Ms. Charlotte Hogg,Charlotte,,Hogg,NaT,2019-12-16 00:00:00,2019-12-16 00:00:00,Non-Executive Independent Director
REL.L,Audit,Member,2019-06-06,549300WSX3VBUFFJOO66,Relx PLC,17,Mr. Andrew (Andy) Sukawaty,Andrew,,Sukawaty,NaT,2019-04-25 00:00:00,2019-04-25 00:00:00,Non-Executive Independent Director
REL.L,Audit,Chairman,2020-04-23,549300WSX3VBUFFJOO66,Relx PLC,19,Ms. Suzanne H. Wood,Suzanne,H.,Wood,NaT,2017-09-26 00:00:00,2023-04-20 00:00:00,Senior Non-Executive Independent Director
TRIG.L,Audit,Member,2020-03-01,213800NO6Q7Q7HMOMT20,Renewables Infrastructure Group Ltd,3,Ms. Tove Feld,Tove,,Feld,NaT,2020-03-01 00:00:00,2022-07-18 00:00:00,Senior Non-Executive Independent Director
TRIG.L,Audit,Member,2022-03-01,213800NO6Q7Q7HMOMT20,Renewables Infrastructure Group Ltd,4,Ms. Erna- Maria Trixl,Erna- Maria,,Trixl,NaT,2022-03-01 00:00:00,2022-03-01 00:00:00,Non-Executive Independent Director
TRIG.L,Audit,Chairman,2022-05-27,213800NO6Q7Q7HMOMT20,Renewables Infrastructure Group Ltd,5,Mr. John Richard Whittle,John,Richard,Whittle,NaT,2021-07-01 00:00:00,2022-07-17 00:00:00,Non-Executive Independent Director
RSW.L,Audit,Member,2023-09-01,21380048ADXM6Z67CT18,Renishaw PLC,9,"Prof. Karen Holford, Ph.D.",Karen,,Holford,NaT,2023-09-01 00:00:00,2023-09-01 00:00:00,Non-Executive Director
RSW.L,Audit,Member,2018-08-01,21380048ADXM6Z67CT18,Renishaw PLC,10,Ms. Catherine Janet Glickman,Catherine,Janet,Glickman,NaT,2018-08-01 00:00:00,2018-08-01 00:00:00,Independent Non-Executive Director
RSW.L,Audit,Member,2012-04-25,21380048ADXM6Z67CT18,Renishaw PLC,11,"Sir David Grant, CBE., Ph.D.",David,,Grant,NaT,2012-04-25 00:00:00,2015-01-01 00:00:00,Senior Non-Executive Independent Director
RSW.L,Audit,Chairman,2022-01-01,21380048ADXM6Z67CT18,Renishaw PLC,12,Ms. Juliette Stacey,Juliette,,Stacey,NaT,2022-01-01 00:00:00,2022-01-01 00:00:00,Non-Executive Independent Director
RSW.L,Audit,Member,2022-06-01,21380048ADXM6Z67CT18,Renishaw PLC,13,Mr. Stephen Wilson,Stephen,,Wilson,NaT,2022-06-01 00:00:00,2022-06-01 00:00:00,Non-Executive Independent Director
RTO.L,Audit,Chairman,2023-05-10,549300VN4WV7Z6T14K68,Rentokil Initial PLC,18,Ms. Sally Johnson,Sally,,Johnson,NaT,2023-04-01 00:00:00,2023-04-01 00:00:00,Non-Executive Independent Director
RTO.L,Audit,Member,2018-01-01,549300VN4WV7Z6T14K68,Rentokil Initial PLC,20,Mr. John Pettigrew,John,,Pettigrew,NaT,2018-01-01 00:00:00,2019-05-08 00:00:00,Senior Non-Executive Independent Director
RTO.L,Audit,Member,2017-11-01,549300VN4WV7Z6T14K68,Rentokil Initial PLC,22,Dr. Linda Yueh,Linda,,Yueh,NaT,2017-11-01 00:00:00,2017-11-01 00:00:00,Non-Executive Independent Director
RHIM.L,Audit,Chairman,2017-10-06,724500UWG6A61XNA3Y36,RHI Magnesita NV,3,Mr. John Ramsay,John,,Ramsay,NaT,2017-10-06 00:00:00,2020-10-01 00:00:00,Senior Independent Non-Executive Deputy Chairman of the Board
RHIM.L,Audit,Member,2017-10-01,724500UWG6A61XNA3Y36,RHI Magnesita NV,13,"Dr. Wolfgang Ruttenstorfer, Ph.D.",Wolfgang,,Ruttenstorfer,NaT,2017-06-20 00:00:00,2017-06-20 00:00:00,Non-Executive Director
RHIM.L,Audit,Member,2021-06-10,724500UWG6A61XNA3Y36,RHI Magnesita NV,19,Ms. Janice (Jann) Brown,Janice,,Brown,NaT,2021-06-10 00:00:00,2021-06-10 00:00:00,Non-Executive Independent Director
RMV.L,Audit,Member,2016-12-30,2138001JXGCFKBXYB828,Rightmove PLC,6,"Ms. Jacqueline De Rojas, CBE",Jacqueline,,De Rojas,NaT,2016-12-30 00:00:00,2019-05-10 00:00:00,Senior Independent Non-Executive Director
RMV.L,Audit,Chairman,2018-05-01,2138001JXGCFKBXYB828,Rightmove PLC,7,"Mr. Andrew Findlay, CPA",Andrew,,Findlay,NaT,2017-06-01 00:00:00,2017-06-01 00:00:00,Non-Executive Independent Director
RIO.L,Audit,Chairman,2019-06-26,213800YOEO5OQ72G2R82,Rio Tinto PLC,19,Mr. Simon Henry,Simon,,Henry,NaT,2017-04-01 00:00:00,2017-04-01 00:00:00,Independent Non-Executive Director
RIO.L,Audit,Member,2019-01-01,213800YOEO5OQ72G2R82,Rio Tinto PLC,22,Mr. Simon Vincent Mckeon,Simon,Vincent,Mckeon,NaT,2019-01-01 00:00:00,2019-01-01 00:00:00,Independent Non-Executive Director
RIO.L,Audit,Member,2021-09-01,213800YOEO5OQ72G2R82,Rio Tinto PLC,25,Mr. Benjamin Sana (Ben) Wyatt,Benjamin,Sana,Wyatt,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Independent Non-Executive Director
RCP.L,Audit,Member,2022-05-19,P31Q1NLTW35JJGHA4667,RIT Capital Partners PLC,3,Ms. Jutta Af Rosenborg,Jutta,,Af Rosenborg,NaT,2022-05-19 00:00:00,2022-05-19 00:00:00,Non-Executive Independent Director
RCP.L,Audit,Member,2023-02-09,P31Q1NLTW35JJGHA4667,RIT Capital Partners PLC,4,Mr. Philippe Costeletos,Philippe,,Costeletos,NaT,2017-07-20 00:00:00,2019-04-25 00:00:00,Senior Non-Executive Independent Director
RCP.L,Audit,Member,2018-04-26,P31Q1NLTW35JJGHA4667,RIT Capital Partners PLC,9,Mr. Andre F. Perold,André,F.,Perold,NaT,2018-04-26 00:00:00,2018-04-26 00:00:00,Non-Executive Independent Director
RR.L,Audit,Member,2020-01-02,213800EC7997ZBLZJH69,Rolls-Royce Holdings PLC,8,Mr. George Culmer,George,,Culmer,NaT,2020-01-02 00:00:00,2020-01-02 00:00:00,Senior Independent Director
RR.L,Audit,Member,2022-04-01,213800EC7997ZBLZJH69,Rolls-Royce Holdings PLC,9,Lord Jitesh Gadhia,Jitesh,,Gadhia,NaT,2022-04-01 00:00:00,2022-04-01 00:00:00,Non-Executive Independent Director
RR.L,Audit,Member,2017-07-03,213800EC7997ZBLZJH69,Rolls-Royce Holdings PLC,10,"Ms. Beverly K. (Bev) Goulet, J.D.",Beverly,K.,Goulet,NaT,2017-07-03 00:00:00,2017-07-03 00:00:00,Non-Executive Independent Director
RR.L,Audit,Chairman,2021-05-13,213800EC7997ZBLZJH69,Rolls-Royce Holdings PLC,11,Mr. Nicholas Lawrence (Nick) Luff,Nicholas,Lawrence,Luff,NaT,2018-05-03 00:00:00,2018-05-03 00:00:00,Non-Executive Independent Director
ROR.L,Audit,Member,2018-12-01,213800AH5RZIHGWRJ718,Rotork PLC,14,Mr. Tim R. Cobbold,Tim,R.,Cobbold,NaT,2018-12-01 00:00:00,2018-12-01 00:00:00,Non-Executive Independent Director
ROR.L,Audit,Chairman,2021-05-01,213800AH5RZIHGWRJ718,Rotork PLC,17,"Ms. Janice Elaine (Janice) Stipp, CPA",Janice,Elaine,Stipp,NaT,2020-12-01 00:00:00,2020-12-01 00:00:00,Non-Executive Independent Director
RS1R.L,Audit,Member,2021-09-01,549300KVXDURRKVW7R37,RS Group PLC,11,Mr. Alexander David (Alex) Baldock,Alexander,David,Baldock,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Non-Executive Independent Director
RS1R.L,Audit,Chairman,2017-02-01,549300KVXDURRKVW7R37,RS Group PLC,12,Ms. Louisa Sachiko Burdett,Louisa,Sachiko,Burdett,NaT,2017-02-01 00:00:00,2017-02-01 00:00:00,Non-Executive Independent Director
RS1R.L,Audit,Member,2023-05-15,549300KVXDURRKVW7R37,RS Group PLC,13,"Dr. Navneet Kapoor, Ph.D.",Navneet,,Kapoor,NaT,2022-06-01 00:00:00,2022-06-01 00:00:00,Non-Executive Independent Director
RS1R.L,Audit,Member,2022-01-01,549300KVXDURRKVW7R37,RS Group PLC,15,Mr. David Sleath,David,,Sleath,NaT,2019-06-01 00:00:00,2019-09-01 00:00:00,Senior Non-Executive Independent Director
RICA_P.L,Audit,Member,2018-06-01,21380068AHZKY7MKNO47,Ruffer Investment Company Ltd,1,Mr. Christopher (Chris) Russell,Christopher,,Russell,NaT,2016-12-01 00:00:00,2020-12-04 00:00:00,Non-Executive Independent Chairman of the Board
RICA_P.L,Audit,Chairman,2022-12-02,21380068AHZKY7MKNO47,Ruffer Investment Company Ltd,2,Ms. Susie Farnon,Susie,,Farnon,NaT,2022-09-01 00:00:00,2022-09-01 00:00:00,Non-Executive Director
RICA_P.L,Audit,Member,,21380068AHZKY7MKNO47,Ruffer Investment Company Ltd,4,Mrs. Shelagh Yvonne Mason,Shelagh,Yvonne,Mason,NaT,2020-06-01 00:00:00,2020-06-01 00:00:00,Non-Executive Independent Director
RICA_P.L,Audit,Member,,21380068AHZKY7MKNO47,Ruffer Investment Company Ltd,5,Mr. Nicholas A. Pink,Nicholas,A.,Pink,NaT,2020-09-01 00:00:00,2020-09-01 00:00:00,Non-Executive Independent Director
SAFE.L,Audit,Chairman,2024-03-01,213800WGA3YSJC1YOH73,Safestore Holdings PLC,5,Mrs. Jane Elizabeth Bentall,Jane,Elizabeth,Bentall,NaT,2022-05-18 00:00:00,2024-03-01 00:00:00,Senior Non-Executive Independent Director
SAFE.L,Audit,Member,2023-09-01,213800WGA3YSJC1YOH73,Safestore Holdings PLC,6,Ms. Avis Darzins,Avis,,Darzins,NaT,2023-09-01 00:00:00,2023-09-01 00:00:00,Non-Executive Independent Director
SAFE.L,Audit,Member,2020-06-01,213800WGA3YSJC1YOH73,Safestore Holdings PLC,10,Mr. Gert Van De Weerdhof,Gert,,Van De Weerdhof,NaT,2020-06-01 00:00:00,2020-06-01 00:00:00,Non-Executive Independent Director
SGE.L,Audit,Member,2020-05-01,2138005RN5XYLTF8G138,Sage Group PLC,14,Ms. Sangeeta Anand,Sangeeta,,Anand,NaT,2020-05-01 00:00:00,2020-05-01 00:00:00,Non-Executive Independent Director
SGE.L,Audit,Chairman,2020-09-01,2138005RN5XYLTF8G138,Sage Group PLC,16,Mr. Jonathan Bewes,Jonathan,,Bewes,NaT,2019-04-01 00:00:00,2019-04-01 00:00:00,Non-Executive Independent Director
SGE.L,Audit,Member,2019-04-01,2138005RN5XYLTF8G138,Sage Group PLC,17,Ms. Annette Elizabeth Court,Annette,Elizabeth,Court,NaT,2019-04-01 00:00:00,2019-04-01 00:00:00,Non-Executive Independent Director
SGE.L,Audit,Member,2014-01-01,2138005RN5XYLTF8G138,Sage Group PLC,18,Mr. Drummond Hall,Drummond,,Hall,NaT,2014-01-01 00:00:00,2017-02-28 00:00:00,Senior Independent Non-Executive Director
SGE.L,Audit,Member,,2138005RN5XYLTF8G138,Sage Group PLC,19,Mr. Derek Harding,Derek,,Harding,NaT,2021-03-02 00:00:00,2021-03-02 00:00:00,Non-Executive Independent Director
SBRY.L,Audit,Member,2016-04-01,213800VGZAAJIKJ9Y484,J Sainsbury PLC,13,Mr. Brian Cassin,Brian,,Cassin,NaT,2016-04-01 00:00:00,2022-07-07 00:00:00,Senior Non-Executive Independent Director
SBRY.L,Audit,Chairman,2021-07-09,213800VGZAAJIKJ9Y484,J Sainsbury PLC,15,Mr. Adrian Nevil Hennah,Adrian,Nevil,Hennah,NaT,2021-04-01 00:00:00,2021-04-01 00:00:00,Non-Executive Independent Director
SBRY.L,Audit,Member,2020-07-01,213800VGZAAJIKJ9Y484,J Sainsbury PLC,17,"Mr. Keith Weed, CBE",Keith,C. F.,Weed,NaT,2020-07-01 00:00:00,2020-07-01 00:00:00,Non-Executive Independent Director
SVS.L,Audit,Chairman,2021-01-01,213800WXICGMBWHTA933,Savills PLC,11,Ms. Stacey Cartwright,Stacey,,Cartwright,NaT,2018-10-01 00:00:00,2020-01-01 00:00:00,Senior Non-Executive Independent Director 
SVS.L,Audit,Member,2021-01-01,213800WXICGMBWHTA933,Savills PLC,12,Mr. Philip Lee,Philip,,Lee,NaT,2021-01-01 00:00:00,2021-01-01 00:00:00,Non-Executive Independent Director 
SVS.L,Audit,Member,2018-10-01,213800WXICGMBWHTA933,Savills PLC,16,Ms. Florence Tondu-Melique,Florence,,Tondu-Melique,NaT,2018-10-01 00:00:00,2018-10-01 00:00:00,Non-Executive Independent Director
SDP.L,Audit,Member,,549300A71N7LE35KWU14,Schroder Asiapacific Fund PLC,1,Mr. James Williams,James,,Williams,NaT,2014-08-11 00:00:00,2021-02-01 00:00:00,Independent Non-Executive Chairman of the Board
SDP.L,Audit,Member,,549300A71N7LE35KWU14,Schroder Asiapacific Fund PLC,2,Mr. Keith Craig,Keith,,Craig,NaT,2015-05-19 00:00:00,2016-01-01 00:00:00,Independent Non-Executive Director
SDP.L,Audit,Chairman,2022-02-01,549300A71N7LE35KWU14,Schroder Asiapacific Fund PLC,3,Ms. Julia Goh,Julia,,Goh,NaT,2021-10-25 00:00:00,2021-10-25 00:00:00,Independent Non-Executive Director
SDP.L,Audit,Member,2019-05-21,549300A71N7LE35KWU14,Schroder Asiapacific Fund PLC,4,Ms. Vivien Gould,Vivien,,Gould,NaT,2019-05-21 00:00:00,2019-05-21 00:00:00,Independent Non-Executive Director
SDP.L,Audit,Member,2023-05-01,549300A71N7LE35KWU14,Schroder Asiapacific Fund PLC,5,Mr. Rupert Bruce Grantham Trower Hogg,Rupert,Bruce Grantham Trower,Hogg,NaT,2023-05-01 00:00:00,2023-05-01 00:00:00,Independent Non-Executive Director
SOI.L,Audit,Member,2020-12-11,5493001U9X6P8SS0PK40,Schroder Oriental Income Fund Ltd,1,Mr. Paul Meader,Paul,,Meader,NaT,2016-01-01 00:00:00,2020-12-11 00:00:00,Independent Non-Executive Chairman of the Board
SOI.L,Audit,Chairman,2018-02-09,5493001U9X6P8SS0PK40,Schroder Oriental Income Fund Ltd,2,Ms. Alexa Coates,Alexa,,Coates,NaT,2018-02-09 00:00:00,2018-02-09 00:00:00,Independent Non-Executive Director
SOI.L,Audit,Member,2020-03-24,5493001U9X6P8SS0PK40,Schroder Oriental Income Fund Ltd,5,Mr. Nick Winsor,Nick,,Winsor,NaT,2020-03-24 00:00:00,2020-03-24 00:00:00,Independent Non-Executive Director
SDR.L,Audit,Chairman,2016-04-28,2138001YYBULX5SZ2H24,Schroders PLC,21,Mrs. Rhian L. Davies,Rhian,L.,Davies,NaT,2015-07-14 00:00:00,2015-07-14 00:00:00,Independent Non-Executive Director
SDR.L,Audit,Member,2018-11-29,2138001YYBULX5SZ2H24,Schroders PLC,22,Ms. Rakhi (Parekh) Goss-Custard,Rakhi,,Goss-Custard,NaT,2017-01-01 00:00:00,2017-01-01 00:00:00,Independent Non-Executive Director
SDR.L,Audit,Member,2019-11-06,2138001YYBULX5SZ2H24,Schroders PLC,24,Ms. Deborah Waterhouse,Deborah,,Waterhouse,NaT,2019-03-11 00:00:00,2019-03-11 00:00:00,Independent Non-Executive Director
SDR.L,Audit,Member,2020-03-09,2138001YYBULX5SZ2H24,Schroders PLC,25,Mr. Matthew C. H. Westerman,Matthew,C. H.,Westerman,NaT,2020-03-09 00:00:00,2020-03-09 00:00:00,Independent Non-Executive Director 
SAIN.L,Audit,Member,,549300NF03XVC5IFB447,Scottish American Investment Company P L C,2,"Ms. Bronwyn (Buckley) Curtis, OBE",Bronwyn,,Curtis,NaT,2014-11-17 00:00:00,2022-04-05 00:00:00,Senior Independent Non-Executive Director
SAIN.L,Audit,Chairman,2020-04-02,549300NF03XVC5IFB447,Scottish American Investment Company P L C,3,Ms. Karyn Lamont,Karyn,,Lamont,NaT,2019-04-04 00:00:00,2019-04-04 00:00:00,Independent Non-Executive Director
SAIN.L,Audit,Member,2019-01-01,549300NF03XVC5IFB447,Scottish American Investment Company P L C,4,Dame Mariot Leslie,Mariot,Mariot,Leslie,NaT,2019-01-01 00:00:00,2019-01-01 00:00:00,Independent Non-Executive Director
SAIN.L,Audit,Member,2022-04-06,549300NF03XVC5IFB447,Scottish American Investment Company P L C,5,Ms. Christine A. Montgomery,Christine,A.,Montgomery,NaT,2022-04-06 00:00:00,2022-04-06 00:00:00,Independent Non-Executive Director
SMT.L,Audit,Chairman,2017-01-01,213800G37DCS3Q9IJM38,Scottish Mortgage Investment Trust PLC,1,Mr. Justin Dowley,Justin,,Dowley,NaT,2015-09-04 00:00:00,2023-06-27 00:00:00,Non-Executive Independent Chairman of the Board
SMT.L,Audit,Member,2022-04-01,213800G37DCS3Q9IJM38,Scottish Mortgage Investment Trust PLC,2,Mr. Mark Thomas Fitzpatrick,Mark,Thomas,Fitzpatrick,NaT,2021-10-05 00:00:00,2021-10-05 00:00:00,Non-Executive Director
SMT.L,Audit,Member,2023-05-17,213800G37DCS3Q9IJM38,Scottish Mortgage Investment Trust PLC,3,Ms. Sharon Emma Flood,Sharon,Emma,Flood,NaT,2023-05-17 00:00:00,2023-05-17 00:00:00,Non-Executive Independent Director
SMT.L,Audit,Member,2023-05-17,213800G37DCS3Q9IJM38,Scottish Mortgage Investment Trust PLC,4,Mr. Vikram Kumaraswamy,Vikram,,Kumaraswamy,NaT,2023-05-17 00:00:00,2023-05-17 00:00:00,Non-Executive Independent Director
SMT.L,Audit,Member,,213800G37DCS3Q9IJM38,Scottish Mortgage Investment Trust PLC,6,Prof. Patrick H. Maxwell,Patrick,H.,Maxwell,NaT,2016-04-01 00:00:00,2023-06-27 00:00:00,Senior Independent Non-Executive Director
SGRO.L,Audit,Member,,213800XC35KGM9NFC641,SEGRO PLC,9,Mr. Martin R. Moore,Martin,R.,Moore,NaT,2014-07-01 00:00:00,2023-07-01 00:00:00,Non-Executive Director
SGRO.L,Audit,Member,2021-06-15,213800XC35KGM9NFC641,SEGRO PLC,11,Ms. Susan (Sue) Clayton,Susan,,Clayton,NaT,2018-06-01 00:00:00,2018-06-01 00:00:00,Independent Non-Executive Director
SGRO.L,Audit,Chairman,2019-09-30,213800XC35KGM9NFC641,SEGRO PLC,12,Ms. Carol Fairweather,Carol,,Fairweather,NaT,2018-01-01 00:00:00,2023-07-01 00:00:00,Senior Independent Non-Executive Director
SGRO.L,Audit,Member,2021-07-01,213800XC35KGM9NFC641,SEGRO PLC,13,Mr. Simon W. D. Fraser,Simon,W. D.,Fraser,NaT,2021-05-01 00:00:00,2021-05-01 00:00:00,Independent Non-Executive Director
SGRO.L,Audit,Member,2021-07-01,213800XC35KGM9NFC641,SEGRO PLC,14,Dr. Linda Yueh,Linda,,Yueh,NaT,2021-05-01 00:00:00,2021-05-01 00:00:00,Independent Non-Executive Director
SNR.L,Audit,Member,,5493002HQHWN5JQHKQ51,Senior PLC,10,Ms. Susan Seilheimer Brennan,Susan,Seilheimer,Brennan,NaT,2016-01-01 00:00:00,2016-01-01 00:00:00,Independent Non-Executive Director
SNR.L,Audit,Member,2019-01-01,5493002HQHWN5JQHKQ51,Senior PLC,12,Mr. Rajiv Sharma,Rajiv,,Sharma,NaT,2019-01-01 00:00:00,2019-01-01 00:00:00,Independent Non-Executive Director
SNR.L,Audit,Chairman,2023-04-01,5493002HQHWN5JQHKQ51,Senior PLC,13,Ms. Mary Waldner,Mary,,Waldner,NaT,2021-12-01 00:00:00,2021-12-01 00:00:00,Independent Non-Executive Director
SEQI.L,Audit,Member,2022-01-01,2138006OW12FQHJ6PX91,Sequoia Economic Infrastructure Income Fund Ltd,2,Mr. Timothy (Tim) Drayson,Timothy,,Drayson,NaT,2022-01-01 00:00:00,2022-01-01 00:00:00,Non-Executive Independent Director
SEQI.L,Audit,Member,,2138006OW12FQHJ6PX91,Sequoia Economic Infrastructure Income Fund Ltd,3,Mrs. Fiona Le Poidevin,Fiona,,Le Poidevin,NaT,2023-01-01 00:00:00,2023-01-01 00:00:00,Non-Executive Independent Director
SEQI.L,Audit,Member,2021-12-31,2138006OW12FQHJ6PX91,Sequoia Economic Infrastructure Income Fund Ltd,5,Mrs. Sandra Platts,Sandra,,Platts,NaT,NaT,2018-01-01 00:00:00,Senior Non-Executive Independent Director
SEQI.L,Audit,Member,2022-01-01,2138006OW12FQHJ6PX91,Sequoia Economic Infrastructure Income Fund Ltd,6,Mr. James Stewart,James,,Stewart,NaT,2022-01-01 00:00:00,2022-01-01 00:00:00,Non-Executive Independent Director
SRP.L,Audit,Member,2022-01-01,549300PT2CIHYN5GWJ21,Serco Group PLC,6,Ms. Kru Desai,Kru,,Desai,NaT,2021-10-21 00:00:00,2021-10-21 00:00:00,Non-Executive Independent Director
SRP.L,Audit,Member,2021-04-21,549300PT2CIHYN5GWJ21,Serco Group PLC,7,Mr. Ian El-Mokadem,Ian,,El-Mokadem,NaT,2017-07-01 00:00:00,2017-07-01 00:00:00,Non-Executive Independent Director
SRP.L,Audit,Chairman,2021-04-21,549300PT2CIHYN5GWJ21,Serco Group PLC,8,Mr. Tim Lodge,Tim,,Lodge,NaT,2021-02-21 00:00:00,2021-02-21 00:00:00,Non-Executive Independent Director
SRP.L,Audit,Member,2017-07-01,549300PT2CIHYN5GWJ21,Serco Group PLC,10,Ms. Lynne M. Peacock,Lynne,M.,Peacock,NaT,2017-07-01 00:00:00,2021-04-21 00:00:00,Senior Non-Executive Independent Director
SVT.L,Audit,Member,2016-09-01,213800RPBXRETY4A4C59,Severn Trent PLC,12,Mr. Kevin Stanley (Kev) Beeston,Kevin,Stanley,Beeston,NaT,2016-06-01 00:00:00,2016-07-20 00:00:00,Senior Independent Non-Executive Director
SVT.L,Audit,Chairman,2023-12-31,213800RPBXRETY4A4C59,Severn Trent PLC,15,Ms. Sarah Catherine Legg,Sarah,Catherine,Legg,NaT,2022-11-01 00:00:00,2022-11-01 00:00:00,Independent Non-Executive Director
SVT.L,Audit,Member,2022-01-01,213800RPBXRETY4A4C59,Severn Trent PLC,17,Ms. Gillian Sheldon,Gillian,,Sheldon,NaT,2021-11-01 00:00:00,2021-11-01 00:00:00,Independent Non-Executive Director
SHCS.L,Audit,Chairman,2023-03-06,549300TTXXZ1SHUI0D54,Shaftesbury Capital PLC,6,Ms. Ruth Anderson,Ruth,,Anderson,NaT,2023-03-06 00:00:00,2023-03-06 00:00:00,Non-Executive Director
SHCS.L,Audit,Member,2023-03-06,549300TTXXZ1SHUI0D54,Shaftesbury Capital PLC,7,Ms. Helena Coles,Helena,,Coles,NaT,2023-03-06 00:00:00,2023-03-06 00:00:00,Non-Executive Director
SHCS.L,Audit,Member,2023-03-06,549300TTXXZ1SHUI0D54,Shaftesbury Capital PLC,8,Ms. Jennelle Tilling,Jennelle,,Tilling,NaT,2023-03-06 00:00:00,2023-03-06 00:00:00,Non-Executive Director
SHCS.L,Audit,Member,2023-03-06,549300TTXXZ1SHUI0D54,Shaftesbury Capital PLC,9,Mr. Richard J. Akers,Richard,J.,Akers,NaT,2023-03-06 00:00:00,2023-03-06 00:00:00,Non-Executive Senior Independent Director
SHCS.L,Audit,Member,2018-06-05,549300TTXXZ1SHUI0D54,Shaftesbury Capital PLC,10,Ms. Charlotte J. Boyle,Charlotte,J.,Boyle,NaT,2017-10-01 00:00:00,2017-10-01 00:00:00,Independent Non-executive Director
SHCS.L,Audit,Member,2023-03-06,549300TTXXZ1SHUI0D54,Shaftesbury Capital PLC,11,Mr. Anthony Steains,Anthony,,Steains,NaT,2016-03-01 00:00:00,2020-05-01 00:00:00,Senior Non-Executive Independent Director
SHEL.L,Audit,Member,2020-05-20,21380068P1DRHMJ8KU70,Shell PLC,3,Mr. Dick Boer,Dick,,Boer,NaT,2020-05-20 00:00:00,2023-05-23 00:00:00,"Non-Executive Deputy Chairman of the Board, Senior Independent Director"
